,custId,sex,isElderly,partner,dependents,membershipDuration,agreementTerm,acquisitionChannel,phoneService,multipleLines,internetService,monthlyDataUsageGb,cyberProtectionService,onlineBackup,deviceProtection,techSupport,streamingTv,streamingMovies,recurringFee,cumulativeSpend,transactionMethod,paperlessBilling,billingIssues,supportTickets,lastContactRating,serviceSatisfactionScore,mobileAppSatisfaction,networkStabilityScore,avgNetworkLatencyMs,dataLimitWarnings,loyaltyPoints,customerFeedback,competitorOffers,custExit
1201,oy11087,Male,No,No,No,9,One year,Referral,Yes,No,No,34.64,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,19.9,164.6,Electronic check,Yes,No,2,5,4,4,10,74,2,1780,"I have been a customer with this company for 9 months now and I am very satisfied with the service. The monthly charges are affordable at $19.90 and I appreciate the convenience of paying with electronic check. Even though I do not have internet service with this company, I have had no issues with my current services. I am happy to say that I have no plans to churn and will continue to be a customer for the remainder of my one year contract.",No,No
5213,Ye28238,Female,No,Yes,Yes,51,One year,Online,Yes,Yes,Fiber optic,54.21,Yes,Yes,No,Yes,Yes,No,95.15,5000.05,Mailed check,Yes,Yes,Yes,5,5,5,8.6,86,Yes,1094,"I have been a customer with this internet service provider for over four years now and I have been very satisfied with the service. The fiber optic internet is fast and reliable, with minimal downtime. The monthly charges are reasonable for the quality of service provided. I appreciate the option to pay by mailed check as it is convenient for me. Overall, I have had a positive experience with this provider and have no plans to switch to another company.",No,No
277,Tf33769,Male,Yes,Yes,No,21,Month-to-month,Online,Yes,No,DSL,51.32,Yes,Yes,No,No,No,Yes,64.95,1339.8,Bank transfer (automatic),Yes,Yes,No,2,5,4,2.4,82,No,1632,"I have been a customer with this DSL internet provider for 21 months now and I have been very satisfied with the service. The monthly charges are reasonable at $64.95 and I appreciate the convenience of automatic bank transfers for payment. The internet service has been reliable with no issues, and I have not experienced any reason to consider churning to a different provider. Overall, I am happy with my experience and would recommend this provider to others.",No,No
456,IL15023,Male,No,Yes,Yes,28,One year,Store,Yes,No,Fiber optic,45.46,No,Yes,Yes,Yes,Yes,No,92.9,2768.35,Bank transfer (automatic),No,2,2,3,4,5,4.9,101,3,597,"I have been a customer with this company for over two years now and I have been extremely satisfied with their service. The fiber optic internet service has been fast and reliable, and I have never experienced any outages. The automatic bank transfer payment method is convenient and hassle-free. The monthly charges of $92.9 are reasonable for the quality of service I receive. Overall, I have no complaints and would highly recommend this company to others.",No,No
4685,xp22817,Female,No,No,Yes,21,One year,Store,Yes,No,DSL,55.92,Yes,Yes,Yes,No,No,Yes,64.85,1336.8,Mailed check,No,No,Yes,2,3,4,9.6,17,2,1376,"I have been a customer with this company for 21 months now and I have had a positive experience overall. The DSL internet service has been reliable and the monthly charges of $64.85 are reasonable for the service provided. I appreciate the option to pay by mailed check as it is convenient for me. Overall, I am satisfied with the service and have no plans to churn in the near future.",No,No
4597,Y52749,Female,No,No,No,2,Month-to-month,Store,Yes,Yes,DSL,62.49,No,Yes,No,No,No,No,49.4,106.55,Electronic check,Yes,2,2,3,5,5,10,24,2,832,"I recently cancelled my DSL service with this provider after only two months. The monthly charges of $49.4 were reasonable, but I found the internet service to be slow and unreliable. I also had issues with the electronic check payment method, as it seemed to take longer to process than I would have liked. Overall, I was not satisfied with the service and decided to switch to a different provider.",No,Yes
3624,U77364,Male,Yes,Yes,No,46,Month-to-month,Store,Yes,Yes,Fiber optic,35.31,No,Yes,Yes,No,Yes,Yes,98.85,4564.9,Electronic check,Yes,Yes,Yes,2,3,3,1.6,61,No,2225,"I have been a customer with this company for 46 months now and I must say I am extremely satisfied with the service they provide. The fiber optic internet service has been reliable and fast, and the monthly charges of $98.85 are reasonable for the quality of service I receive. I appreciate the convenience of paying with electronic check and have had no issues with billing or payments. Overall, I have had a positive experience and would recommend this company to others looking for a reliable internet provider.",No,No
3394,D94193,Male,No,No,Yes,52,Two year,Store,Yes,Yes,DSL,65.32,Yes,Yes,No,Yes,Yes,Yes,85.15,4461.85,Mailed check,Yes,No,3,Yes,5,5,Yes,10,No,1646,"I have been a customer with this company for over 4 years now and I have been very satisfied with the service. The DSL internet service has been reliable and the monthly charges are reasonable. I appreciate being able to pay by mailing a check, as it is convenient for me. Overall, I have had no issues with the service and I have no plans to churn in the near future.",No,No
2695,x16208,Female,No,Yes,Yes,71,Two year,Online,Yes,Yes,DSL,49.49,Yes,Yes,Yes,Yes,No,No,71.1,5224.95,Mailed check,No,Yes,Yes,2,3,5,Yes,92,Yes,1162,"I have been a loyal customer with this company for over 6 years now, and I have been satisfied with the DSL internet service they provide. The monthly charges are reasonable at $71.1 and I appreciate the convenience of being able to pay by mailing a check. Overall, I have had a positive experience with this company and have no plans to churn in the near future.",Yes,No
2602,ao76475,Female,No,Yes,Yes,40,Month-to-month,Online,Yes,Yes,Fiber optic,37.51,No,Yes,Yes,No,Yes,No,96.35,3915.4,Credit card (automatic),Yes,Yes,2,Yes,5,4,4.6,25,2,294,"I have been a customer with this company for 40 months now and I have been really satisfied with the service. The fiber optic internet is super fast and reliable. The monthly charges of $96.35 are reasonable for the quality of service I receive. I appreciate the convenience of the automatic credit card payment method. Overall, I have no complaints and have no plans to churn in the near future. Highly recommend this company for anyone looking for reliable internet service.",No,No
52,e42113,Female,Yes,Yes,No,25,Month-to-month,Online,Yes,Yes,DSL,61,Yes,Yes,No,Yes,Yes,No,69.5,1752.65,Credit card (automatic),Yes,No,Yes,2,3,5,5.4,65,Yes,508,"I have been a customer with this company for 25 months now, and I have been very satisfied with the service. The DSL internet service has been reliable and the monthly charges of $69.5 are reasonable for the speed and quality of service I receive. I appreciate the convenience of the automatic credit card payment method as well. Overall, I have had no reason to consider churning and I would recommend this company to others looking for a reliable internet service provider.",No,No
1412,mq82424,Male,Yes,Yes,No,61,One year,Store,Yes,Yes,Fiber optic,51.94,No,Yes,No,Yes,No,No,85.55,5251.75,Bank transfer (automatic),Yes,Yes,Yes,4,3,2,8.1,91,2,1294,"I have been a loyal customer of this fiber optic internet service provider for over five years now and I must say I have been extremely satisfied with the service. The automatic bank transfer for payment makes it convenient for me to never miss a payment and the consistent monthly charges of $85.55 are fair for the quality of service I receive. The speed and reliability of the fiber optic internet is top-notch and I have never experienced any major issues or disruptions. Overall, I highly recommend this provider for anyone looking for reliable and fast internet service.",No,No
5677,B53239,Female,No,Yes,Yes,36,Month-to-month,Store,Yes,No,No,116.62,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,19.2,702.9,Bank transfer (automatic),No,Yes,2,3,4,2,4.7,43,Yes,100,"I have been a customer with this company for 3 years now and I have been very satisfied with their service. The month-to-month contract is convenient for me as I have the flexibility to cancel at any time. The automatic bank transfer for payment is hassle-free and ensures that my bills are always paid on time. Although I do not have internet service with them, the monthly charges of $19.2 are very reasonable. Overall, I have had a positive experience with this company and would recommend them to others.",No,No
736,SZ54855,Female,No,Yes,Yes,56,Two year,Online,Yes,Yes,DSL,60.05,Yes,Yes,Yes,Yes,Yes,No,81.25,4620.4,Credit card (automatic),No,Yes,2,3,5,5,Yes,69,Yes,887,I have been a customer with this company for 56 months now and I have been very satisfied with the service. The DSL internet service has been reliable and the monthly charges of $81.25 are reasonable for the quality of service I receive. I appreciate the convenience of automatic credit card payments and have had no issues with billing. I have no plans to churn and will continue to be a loyal customer.,No,No
1886,z21062,Female,No,Yes,Yes,47,Two year,Online,Yes,No,No,32.27,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,19.75,948.9,Mailed check,No,Yes,2,3,5,5,4.8,122,2,987,"I have been a loyal customer with this company for 47 months now and have never experienced any issues with churning. I have a two-year contract with a monthly charge of $19.75, which is very reasonable. While I do not have internet service with this company, I appreciate the convenience of being able to pay my bill through a mailed check. Overall, I am satisfied with the service and pricing provided.",No,No
2722,V68716,Female,Yes,Yes,No,67,One year,Online,Yes,Yes,Fiber optic,50.26,Yes,Yes,Yes,No,Yes,Yes,107.05,7142.5,Credit card (automatic),Yes,Yes,2,5,4,4,5.6,49,4,1065,"I have been a customer with this company for over five years and have been consistently satisfied with the service. The fiber optic internet service has been reliable and fast, and I have not experienced any issues with my connection. The automatic credit card payment method has made it convenient for me to pay my monthly bill on time. Although the monthly charges are on the higher side at $107.05, I believe the quality of service justifies the cost. Overall, I am happy with my experience and have no plans to switch providers.",No,No
6011,D64996,Male,No,Yes,Yes,Yes,Month-to-month,Referral,Yes,No,No,71.57,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,19.7,19.7,Mailed check,No,No,Yes,2,4,5,8.2,67,Yes,760,"I have been a customer with this company for a month now and I am happy to report that I have not experienced any issues with my service. The monthly charges are affordable at $19.7 and the payment method of mailing in a check is convenient for me. Although I do not have internet service with this company, I am satisfied with the overall experience so far. I would recommend this company to others looking for a reliable and affordable service provider.",Yes,No
5933,NR26336,Male,No,Yes,No,56,One year,Online,Yes,No,No,25.03,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,19.95,1126.75,Credit card (automatic),No,No,2,3,3,4,2.3,15,No,1063,"I have been a customer with this company for 56 months now and have been on a one-year contract with monthly charges of $19.95. I have been satisfied with the service provided and have not experienced any issues with billing or customer service. The automatic credit card payment method has been convenient for me and I have not had any issues with it. Overall, I am happy with my experience as a customer and have no complaints.",Yes,No
1051,q77905,Male,No,No,No,56,Month-to-month,Online,Yes,Yes,Fiber optic,18.54,Yes,Yes,No,Yes,Yes,Yes,105.35,5794.45,Mailed check,Yes,No,4,4,5,3,Yes,16,2,1183,"I have been a loyal customer for over four and a half years with the month-to-month contract and have had no issues with the service. The fiber optic internet has been reliable and fast, meeting all my needs. The monthly charges are reasonable for the quality of service I receive. The only downside is that I have to pay by mailed check, which can be a bit inconvenient at times. Overall, I am satisfied with the service and would recommend it to others.",No,No
6520,Jc31731,Male,No,Yes,No,63,Two year,Store,Yes,No,Fiber optic,54.01,Yes,Yes,Yes,Yes,Yes,Yes,110.1,6705.7,Credit card (automatic),Yes,No,No,Yes,5,5,4.4,51,3,1335,"I have been a customer with this company for over five years now and have been consistently satisfied with the service. The fiber optic internet has been reliable and fast, and I have had no issues with connectivity. The automatic credit card payment method is convenient and hassle-free. The monthly charges are a bit on the higher side at $110.1, but I feel like I am getting good value for the price. Overall, I have no complaints and would recommend this company to others.",No,No
5400,Kk92349,Female,No,Yes,Yes,47,Two year,Store,Yes,No,DSL,41.93,No,Yes,No,Yes,No,Yes,63.8,3007.25,Bank transfer (automatic),No,Yes,No,4,3,3,Yes,95,No,1384,"I have been a loyal customer of this internet service provider for almost four years now and I am extremely satisfied with their service. The DSL internet connection has been reliable and fast, and I have never experienced any issues with my connection. The automatic bank transfer payment method is convenient and hassle-free. The monthly charges are reasonable for the quality of service that I receive. Overall, I have no complaints and would highly recommend this provider to others.",No,No
1429,Zm92400,Female,No,Yes,Yes,72,Two year,Online,Yes,Yes,DSL,46.86,Yes,Yes,Yes,Yes,No,Yes,79.5,5661.7,Bank transfer (automatic),Yes,No,No,Yes,4,4,1.5,79,2,980,I have been a loyal customer with this DSL internet service provider for six years now and I have had a contract with them for two years. I have never experienced any issues with my service and my monthly charges of $79.5 are reasonable. The automatic bank transfer payment method is convenient for me and I have never had any issues with billing. I am satisfied with the service and plan to continue using it in the future.,No,No
5365,cN26637,Female,No,Yes,Yes,41,Month-to-month,Online,Yes,Yes,DSL,37.62,Yes,Yes,Yes,Yes,No,Yes,79.9,3326.2,Credit card (automatic),No,Yes,2,3,4,3,9.5,69,Yes,1073,"I recently canceled my service with this provider after being a customer for over three years. I was on a month-to-month contract with a monthly charge of $79.90 for DSL internet service. While the service itself was reliable most of the time, I ultimately decided to switch to a different provider offering faster speeds at a comparable price. The automatic credit card payment method was convenient, but I felt that the monthly charges were a bit high for the speed and quality of service I was receiving. Overall, I was satisfied with my experience but ultimately chose to go with a different option.",No,Yes
442,hk18002,Female,No,Yes,No,54,One year,Store,Yes,Yes,Fiber optic,44.02,Yes,Yes,Yes,Yes,Yes,Yes,114.65,6049.5,Mailed check,Yes,No,2,3,5,3,4.1,53,No,597,"""I have been a customer with this company for over 4 years now and have been very satisfied with the service. The fiber optic internet is fast and reliable, and I have never experienced any issues with connectivity. The monthly charges are reasonable for the quality of service provided. I prefer to pay by mailed check and have had no problems with the payment process. Overall, I am happy with my experience as a customer and have no plans to churn.""",No,No
5085,B83943,Male,No,No,Yes,35,One year,Store,Yes,No,DSL,70.05,No,Yes,No,Yes,Yes,Yes,72.1,2495.15,Mailed check,Yes,4,Yes,5,5,5,9.2,49,2,1047,"I have been a customer with this company for 35 months now and have been satisfied with the DSL internet service. The monthly charges of $72.1 are reasonable for the quality of service I receive. I prefer to pay by mailing a check and have had no issues with the payment process. Overall, I have had a positive experience with this company and have no plans to churn in the near future.",No,No
5331,r13738,Male,No,No,Yes,71,One year,Online,Yes,Yes,Fiber optic,51.41,Yes,Yes,No,No,No,No,85.45,6028.95,Credit card (automatic),Yes,Yes,2,2,5,5,3,81,No,582,"I have been a customer with this company for over 6 years now and I must say I am extremely satisfied with the service provided. The fiber optic internet service has been reliable and fast, allowing me to stream movies, work from home, and video chat with ease. The automatic credit card payment method makes it convenient for me to pay my monthly bill without any hassle. The monthly charges of $85.45 are reasonable for the quality of service I receive. Overall, I have had no issues with churn and plan to continue using this company for the foreseeable future. Highly recommend!",No,No
3986,Hn66789,Male,No,Yes,No,3,Month-to-month,Store,Yes,No,DSL,49.94,No,Yes,Yes,Yes,No,No,55.8,154.55,Mailed check,Yes,Yes,Yes,Yes,5,4,10,64,Yes,1162,"I have been a customer with this internet provider for 3 months now and I am happy to say that I have not experienced any issues with my service. The DSL internet has been reliable and the speed is sufficient for my needs. The monthly charges of $55.8 are reasonable and I appreciate the flexibility of the month-to-month contract. The only downside for me is that I have to pay by mailing a check, which can be a bit inconvenient. Overall, I am satisfied with my service and would recommend this provider to others.",Yes,No
1513,fL36703,Female,Yes,No,No,67,Two year,Store,Yes,No,Fiber optic,50.46,Yes,Yes,No,Yes,Yes,No,92.45,6140.85,Bank transfer (automatic),Yes,Yes,No,5,5,4,6.1,38,Yes,1355,"I have been a loyal customer with this company for over 5 years now and have been extremely satisfied with the service provided. The fiber optic internet service is reliable and fast, and I have never experienced any issues with connectivity. The automatic bank transfer for payment is convenient and hassle-free. Although the monthly charges are a bit on the higher side at $92.45, I believe the quality of service justifies the cost. Overall, I have no complaints and would highly recommend this company to others.",No,No
4422,oY44969,Male,No,No,No,Yes,Month-to-month,Referral,Yes,No,Fiber optic,73.82,No,Yes,No,No,No,No,70.05,70.05,Electronic check,Yes,No,2,4,5,4,7.2,82,No,720,"I decided to cancel my service after just one month because I found a better deal with another provider. The monthly charges of $70.05 for fiber optic internet were a bit higher than I would have liked, especially for a month-to-month contract. The payment method of electronic check was convenient, but ultimately, I felt like I could get a better value elsewhere. Overall, I was satisfied with the service during my short tenure, but the pricing and contract terms were not competitive enough for me to stay as a customer.",Yes,Yes
4677,HV55666,Female,No,No,No,Yes,Month-to-month,Store,Yes,No,No,73.46,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,20.15,20.15,Mailed check,No,No,No,2,5,5,Yes,11,Yes,1173,"I have been a customer with this company for 1 month now and have been satisfied with the service so far. The monthly charges are reasonable at $20.15 and I appreciate the flexibility of the month-to-month contract. However, I do not have internet service with this provider so I cannot speak to that aspect of their services. I prefer to pay by mailed check and have had no issues with the payment process. Overall, I am happy with my experience as a customer and have no plans to churn at this time.",No,No
4934,jv15470,Male,No,No,No,8,Month-to-month,Store,Yes,Yes,DSL,37,No,Yes,No,No,Yes,No,59.25,436.6,Electronic check,Yes,Yes,No,2,4,2,8.5,11,2,1287,"I have been a customer with this company for 8 months now and I am pleased to say that I have had no issues with churn. The month-to-month contract type is convenient for me as I have the flexibility to cancel at any time. The monthly charges of $59.25 for DSL internet service are reasonable and the payment method of electronic check is convenient for me. Overall, I am satisfied with the service provided and would recommend it to others.",Yes,No
4315,aa83651,Male,No,No,No,2,Month-to-month,Online,Yes,No,Fiber optic,50.39,No,Yes,No,No,Yes,No,79.0,143.65,Electronic check,No,Yes,Yes,Yes,3,4,4.7,134,Yes,543,"I recently switched to this fiber optic internet service provider two months ago on a month-to-month contract. I was initially drawn to the competitive monthly charges of $79.0 and the convenience of paying with an electronic check. However, I have experienced frequent outages and slow speeds, which has made it difficult to rely on this service for my work and personal needs. Unfortunately, I have decided to churn and look for a more reliable internet provider.",No,Yes
2963,x35341,Male,No,Yes,Yes,9,Month-to-month,Online,Yes,Yes,Fiber optic,40.86,No,Yes,Yes,No,Yes,Yes,102.6,897.75,Credit card (automatic),Yes,2,Yes,5,5,3,10,81,2,1265,"I have been a customer with this internet service provider for 9 months now and I have been very satisfied with the service. The fiber optic internet is fast and reliable, and I have had no issues with connectivity or speed. The automatic credit card payments make billing convenient and hassle-free. The monthly charges of $102.6 are reasonable for the quality of service I am receiving. Overall, I am happy with my experience and have no plans to switch providers.",No,No
6764,hh57359,Male,No,No,No,Yes,Month-to-month,Agent,Yes,No,No,29.81,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,19.3,19.3,Credit card (automatic),No,No,Yes,5,4,3,3.8,73,3,100,"I have been a customer with this company for one month now and so far I am very satisfied with their service. The monthly charges are affordable at $19.3 and I appreciate the convenience of automatic credit card payments. Even though I do not have internet service with them, I have had no issues with billing or customer service. Overall, I am happy to continue with this month-to-month contract.",No,No
1119,M41525,Female,No,No,No,5,Month-to-month,Store,Yes,No,Fiber optic,54.14,No,Yes,No,Yes,No,No,75.65,399.45,Mailed check,Yes,No,No,2,5,5,6.3,76,Yes,1027,"I have been a customer with this fiber optic internet service provider for 5 months now and I have been really impressed with the quality of service. The internet speed is consistently fast and reliable, which is important for my work from home setup. The monthly charges of $75.65 are reasonable for the level of service I am receiving. I appreciate the flexibility of the month-to-month contract as it gives me the option to switch providers if needed. The only downside is that I have to pay by mailed check, which can be a bit inconvenient at times. Overall, I am happy with my experience and would recommend this provider to others.",No,No
6907,AG19381,Female,No,No,No,63,Two year,Referral,Yes,Yes,DSL,65.31,Yes,Yes,Yes,Yes,No,Yes,80.3,4995.35,Credit card (automatic),Yes,No,Yes,3,3,4,3.4,84,Yes,1156,"I have been a customer with this company for over five years now, and I have been very satisfied with the service. The DSL internet service has been reliable and consistent, and the monthly charges are reasonable for the quality of service provided. I appreciate the convenience of having my payments automatically deducted from my credit card each month. Overall, I have no complaints and would recommend this company to others looking for a reliable internet service provider.",No,No
293,x99507,Female,Yes,No,No,6,Month-to-month,Store,Yes,No,Fiber optic,30.66,No,Yes,No,No,Yes,Yes,89.35,567.8,Electronic check,Yes,No,2,Yes,3,3,5.4,12,2,1566,"I have been a customer with this company for 6 months now and I am extremely satisfied with the service. The fiber optic internet is fast and reliable, and I have had no issues with connectivity. The monthly charges are reasonable at $89.35 and the payment process with electronic check is convenient. I appreciate the flexibility of the month-to-month contract as well. Overall, I have had a positive experience and would recommend this company to others.",No,No
2171,Xv38951,Female,Yes,Yes,Yes,59,Month-to-month,Agent,Yes,Yes,Fiber optic,62.94,No,Yes,Yes,No,No,Yes,88.75,5348.65,Credit card (automatic),Yes,Yes,6,Yes,4,5,10,94,3,1090,"I have been a customer with this company for almost five years now and have been very satisfied with the service. The fiber optic internet is fast and reliable, and I have had no issues with connectivity. The automatic credit card payment makes it easy to manage my bills each month. The monthly charge of $88.75 is reasonable for the quality of service provided. Overall, I have no complaints and would highly recommend this company to others.",Yes,No
1048,F92462,Female,Yes,Yes,No,54,One year,Online,Yes,No,Fiber optic,40.28,No,Yes,Yes,Yes,Yes,Yes,99.1,5437.1,Electronic check,Yes,No,2,3,3,2,6.8,92,2,1013,"""I have been a loyal customer of this company for over four and a half years now, and I have been extremely satisfied with the service provided. The fiber optic internet service is lightning fast and reliable, and the monthly charges of $99.1 are reasonable for the quality of service received. The electronic check payment method is convenient and hassle-free. Overall, I have had a positive experience and would highly recommend this company to others.""",Yes,No
5920,NB13651,Male,No,Yes,No,68,Two year,Referral,Yes,Yes,No,71.58,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,25.05,1629.2,Credit card (automatic),No,No,3,4,4,4,4.6,104,Yes,1575,"I have been a customer with this company for 68 months now and I am very satisfied with their service. I have been on a two-year contract with a monthly charge of $25.05, which I find to be very reasonable. I appreciate the convenience of automatic credit card payments and have never had any issues with billing. While I do not have internet service with this company, I have had no reason to consider switching providers. Overall, I am happy with my experience as a customer and have no plans to churn in the near future.",No,No
4142,Y42191,Female,No,Yes,Yes,70,Two year,Store,Yes,No,DSL,0.16,No,Yes,Yes,Yes,Yes,Yes,80.4,5717.85,Bank transfer (automatic),Yes,Yes,4,5,3,4,2.7,86,Yes,823,I have been a customer with this company for 70 months now and have been very satisfied with the DSL internet service they provide. The automatic bank transfer payment method makes it convenient for me to pay my monthly bill of $80.4. I have not experienced any issues with the service and have no plans to churn anytime soon. I would highly recommend this company to others looking for reliable internet service.,No,No
1662,bt58584,Female,No,No,No,Yes,Month-to-month,Store,Yes,No,Fiber optic,23.53,No,Yes,No,No,No,No,70.25,70.25,Electronic check,Yes,Yes,4,Yes,4,Yes,Yes,83,Yes,566,"I recently signed up for the fiber optic internet service with this company on a month-to-month contract. Unfortunately, after just one month of service, I have decided to cancel due to various reasons. The monthly charges of $70.25 were reasonable for the speed and quality of the internet connection. The payment method of electronic check was convenient and easy to use. However, I experienced frequent outages and slow speeds during my short tenure with the company. I ultimately decided to switch to a different provider that offered more reliable service. Overall, while the pricing and payment method were satisfactory, the inconsistency of the internet service led to my decision to churn after just one month.",No,Yes
6621,Cl38349,Male,No,Yes,Yes,22,One year,Referral,Yes,No,DSL,71.02,Yes,Yes,Yes,Yes,Yes,No,67.5,1544.05,Bank transfer (automatic),Yes,No,2,3,5,5,6.2,72,3,201,"""I have been a customer with this company for 22 months and recently decided to churn. I was overall satisfied with the DSL internet service I received for the monthly charge of $67.5. The automatic bank transfer payment method was convenient for me. However, I decided to switch providers for better deals and promotions. Overall, my experience was positive but I found a better offer elsewhere.""",No,Yes
6864,DN88965,Female,Yes,No,No,14,Month-to-month,Online,Yes,Yes,Fiber optic,50.43,No,Yes,Yes,No,No,No,80.35,1058.1,Bank transfer (automatic),Yes,No,2,5,4,5,10,105,3,956,"I have been a customer with this fiber optic internet service provider for 14 months now and have been very satisfied with the service overall. The speeds are consistently fast and reliable, and I have not experienced any issues with downtime. The automatic bank transfer payment method makes it easy to keep up with my monthly charges, which are reasonable at $80.35. I appreciate the flexibility of the month-to-month contract and have no plans to churn anytime soon. Overall, I would highly recommend this provider to others looking for a reliable internet service.",Yes,No
3107,q34228,Male,No,No,No,7,Month-to-month,Online,Yes,No,DSL,40.81,No,Yes,Yes,Yes,Yes,No,64.3,445.95,Bank transfer (automatic),No,Yes,No,Yes,4,4,7.6,55,Yes,1670,"I have been a customer with this company for 7 months now and have been pleased with the DSL internet service I receive. The monthly charges of $64.3 are reasonable for the level of service I am getting. I appreciate the convenience of the automatic bank transfer payment method. Overall, I have had no issues with the service and have no plans to churn in the near future.",No,No
2420,Yq22713,Male,No,Yes,No,32,One year,Online,Yes,Yes,Fiber optic,79.55,No,Yes,No,Yes,No,No,79.25,2619.15,Electronic check,Yes,No,No,Yes,4,4,Yes,121,Yes,1099,"I have been a customer with this company for 32 months now and I am very satisfied with the service. The fiber optic internet service is fast and reliable, and the monthly charges of $79.25 are reasonable for the quality of service provided. I appreciate being able to pay with electronic check, as it is convenient and hassle-free. Overall, I have had a positive experience with this company and would recommend it to others.",No,No
1815,Av77688,Male,Yes,No,No,9,Month-to-month,Online,Yes,Yes,Fiber optic,110.64,No,Yes,No,No,No,Yes,85.05,746.5,Electronic check,Yes,Yes,No,4,4,2,Yes,69,Yes,468,"I recently decided to switch internet providers after being with this company for 9 months on a month-to-month contract. The monthly charges of $85.05 for fiber optic internet were reasonable, but I ultimately decided to churn because I found a better deal with another provider. The payment method of electronic check was convenient and I never had any issues with billing. Overall, I had a positive experience with this company but ultimately decided to leave for a better deal.",No,Yes
4256,O17284,Male,No,Yes,No,52,Month-to-month,Referral,Yes,Yes,DSL,65.45,No,Yes,No,Yes,No,No,61.35,3169.55,Bank transfer (automatic),No,2,3,Yes,5,2,Yes,58,2,1151,"I have been a customer with this internet service provider for over four years now and I have been very satisfied with their service. The DSL internet connection has been reliable and I have not experienced any issues with downtime or slow speeds. The monthly charges are reasonable at $61.35 and I appreciate the convenience of automatic bank transfers for payment. Overall, I have no complaints and would recommend this provider to others.",No,No
3323,j24970,Male,No,Yes,Yes,71,Two year,Referral,Yes,No,DSL,49.36,No,Yes,No,Yes,Yes,Yes,73.35,5154.5,Credit card (automatic),Yes,Yes,No,4,5,5,8.6,10,3,1072,"I have been a customer with this company for over 6 years now and I have been satisfied with the service. The DSL internet service has been reliable and the monthly charges are reasonable at $73.35. I appreciate the convenience of automatic credit card payments. Overall, I have had a positive experience and have no complaints.",No,No
6131,n91674,Male,No,Yes,No,9,Month-to-month,Store,Yes,Yes,DSL,46.91,No,Yes,Yes,No,No,Yes,69.05,653.95,Credit card (automatic),Yes,No,Yes,5,5,3,6.5,65,Yes,1560,"I have been a customer with this DSL internet service provider for 9 months now and have had no issues with churn. The month-to-month contract is convenient for me and the monthly charges of $69.05 are reasonable for the service provided. The automatic credit card payment method is convenient and hassle-free. Overall, I am satisfied with my experience with this internet service provider.",Yes,No
3687,R50463,Male,No,No,No,Yes,Month-to-month,Online,No,No phone service,DSL,86.98,No,Yes,No,No,No,Yes,35.55,35.55,Electronic check,Yes,No,2,Yes,3,4,3.4,56,2,941,"I recently switched to this DSL internet service provider on a month-to-month contract. The monthly charges were reasonable at $35.55, and I opted to pay through electronic check. Unfortunately, after just one month of service, I decided to churn and cancel my subscription. The internet connection was unreliable and slow, making it difficult for me to work from home efficiently. I was disappointed with the overall experience and will be looking for a more reliable provider moving forward.",No,Yes
4627,oy67110,Male,No,No,Yes,Yes,Month-to-month,Store,Yes,No,Fiber optic,50.12,No,Yes,No,No,No,No,69.75,69.75,Bank transfer (automatic),No,Yes,2,5,3,5,4.6,52,No,826,"I recently signed up for the fiber optic internet service with this provider on a month-to-month contract. The initial set up was smooth and the internet connection was fast and reliable. However, after just one month of service, I decided to cancel and switch to a different provider due to personal reasons. The monthly charges of $69.75 were reasonable for the quality of service provided. The automatic bank transfer payment method was convenient and hassle-free. Overall, I had a positive experience with this provider during my brief tenure.",No,Yes
4949,K96207,Female,No,No,No,5,Month-to-month,Referral,Yes,No,Fiber optic,18.99,No,Yes,No,No,Yes,Yes,96.25,512.45,Electronic check,Yes,No,Yes,5,3,5,Yes,147,Yes,1300,"I decided to cancel my service after 5 months with this provider because I found a better deal elsewhere. The monthly charges of $96.25 were a bit higher than I wanted to pay, especially for a month-to-month contract. The fiber optic internet service was reliable and fast, but ultimately I had to prioritize saving money. I did appreciate being able to pay with an electronic check, as it was convenient for me. Overall, I had a positive experience with the service itself, but ultimately had to leave due to cost.",No,Yes
2768,Nw44723,Female,No,Yes,Yes,72,Two year,Store,Yes,Yes,Fiber optic,58.28,Yes,Yes,Yes,Yes,Yes,Yes,117.5,8670.1,Credit card (automatic),No,Yes,3,2,5,3,4.3,31,2,1071,"I have been a customer with this company for 6 years now and I have been extremely satisfied with the fiber optic internet service they provide. The automatic credit card payment method makes it convenient for me to pay my monthly bill on time without any hassle. The monthly charges of $117.5 are reasonable for the quality of service I receive. I have not experienced any issues with the service and have no plans to churn in the near future. Overall, I highly recommend this company for their reliable internet service.",No,No
